latitude,longitude,stop,sublines,substopid
40.690358,-73.984572,Hoyt St,1 2,74
40.688488,-73.984831,Hoyt-Schermerhorn Sts,A C G,220
40.742068,-73.948928,Hunters Pt Ave,7,160
40.820957,-73.891288,Hunts Pt Ave,6,144
40.822130,-73.896834,Intervale Ave,2 5,49
40.816525,-73.907731,Jackson Ave,2 5,47
40.702263,-73.801037,Jamaica Center,E J Z,463
40.702465,-73.817079,Jamaica-Van Wyck,E,461
40.692700,-73.987270,Jay St,A C F,219
40.706559,-73.922537,Jefferson St,L,448
40.749087,-73.869446,Junction Blvd,7,172
40.663394,-73.902654,Junius St,1,87
40.603439,-73.972369,Kings Highway,F,351
40.604358,-73.980581,Kings Highway,N,430
40.608755,-73.957795,Kings Highway,Q,391
40.868047,-73.896916,Kingsbridge Rd,4,134
40.867177,-73.893565,Kingsbridge Rd,B D,213
40.669321,-73.942045,Kingston Ave,1,82
40.679807,-73.940584,Kingston-Throop Aves,C,225
40.698755,-73.918852,Knickerbocker Ave,M,331
40.693280,-73.928643,Kosciusko St,J,314
40.686045,-73.973800,Lafayette Ave,C,221
40.692191,-73.986201,Lawrence St,M R,378
40.685701,-73.826148,Lefferts Blvd,A,240
40.757130,-73.971903,Lexington-3rd Aves-51st St,6 E V,114
40.757661,-73.969345,Lexington-3rd Aves-51st St,6 E V,256
40.674639,-73.896906,Liberty Ave,C,230
40.663777,-73.900841,Livonia Ave,L,457
40.816320,-73.896191,Longwood Ave,6,143
40.703835,-73.947257,Lorimer St,J M,311
40.759429,-73.829937,Main St,7,176
40.708476,-73.957754,Marcy Ave,J M Z,309
40.711741,-73.889023,Metropolitan Ave,M,336
40.712932,-73.951451,Metropolitan Ave-Lorimer St,G L,285
40.714086,-73.949923,Metropolitan Ave-Lorimer St,G L,443
40.843945,-73.836230,Middletown Rd,6,153
40.707670,-73.939817,Montrose Ave,L,446
40.706151,-73.932799,Morgan Ave,L,447
40.854456,-73.860542,Morris Park,5,65
40.829520,-73.874589,Morrison-Soundview Aves,6,147
40.879704,-73.884703,Mosholu Pkwy,4,136
40.844318,-73.914715,Mt Eden Ave,4,129
40.697203,-73.935504,Myrtle Ave,J M Z,313
40.694649,-73.949041,Myrtle-Willoughby Aves,G,282
40.699550,-73.911056,Myrtle-Wyckoff Aves,L M,450
40.724555,-73.951219,Nassau Ave,G,286
40.595545,-73.955274,Neck Rd,Q,393
40.579977,-73.974625,Neptune Ave-Van Sicklen,F,354
40.688192,-73.980456,Nevins St,1 2 4 5,75
40.666178,-73.884332,New Lots Ave,1,90
40.658934,-73.899611,New Lots Ave,L,458
40.625085,-73.996753,New Utrecht Ave-62nd St,M N W,426
40.639992,-73.948419,Newkirk Ave,2 5,96
40.635299,-73.962818,Newkirk Ave,Q,387
40.752664,-73.905683,Northern Blvd,G R V,262
40.681323,-73.880213,Norwood Ave,J Z,321
40.669797,-73.950356,Nostrand Ave,1,81
40.680497,-73.955769,Nostrand Ave,1 2 4 5 S,436
40.680385,-73.949605,Nostrand Ave,A C,224
40.576349,-73.968089,Ocean Pkwy,Q,396
